test_year,timestamp,close,btc,equity,action
2016,2016-01-01,434.3340148925781,22.98549034967329,9983.38030784821,HOLD
2016,2016-01-02,433.43798828125,22.98549034967329,9962.784696820478,HOLD
2016,2016-01-03,430.010986328125,22.98549034967329,9884.013376498611,HOLD
2016,2016-01-04,433.0910034179687,22.98549034967329,9954.809079594042,HOLD
2016,2016-01-05,431.9599914550781,22.98549034967329,9928.812215035656,HOLD
2016,2016-01-06,429.1050109863281,22.98549034967329,9863.189089022697,HOLD
2016,2016-01-07,458.0480041503906,22.98549034967329,10528.457979085915,HOLD
2016,2016-01-08,453.2300109863281,22.98549034967329,10417.714043708565,HOLD
2016,2016-01-09,447.6109924316406,22.98549034967329,10288.55814694516,HOLD
2016,2016-01-10,447.9909973144531,22.98549034967329,10297.292745511875,HOLD
2016,2016-01-11,448.4280090332031,22.98549034967329,10307.337674155899,HOLD
2016,2016-01-12,435.69000244140625,22.98549034967329,10014.548346566076,HOLD
2016,2016-01-13,432.3710021972656,22.98549034967329,9938.259498483818,HOLD
2016,2016-01-14,430.3059997558594,22.98549034967329,9890.794404794824,HOLD
2016,2016-01-15,364.33099365234375,22.98549034967329,8374.326538682828,HOLD
2016,2016-01-16,387.5360107421875,22.98549034967329,8907.705235065436,HOLD
2016,2016-01-17,382.2990112304687,22.98549034967329,8787.330233327579,HOLD
2016,2016-01-18,387.1679992675781,22.98549034967329,8899.246310867233,HOLD
2016,2016-01-19,380.14898681640625,22.98549034967329,8737.910867906585,HOLD
2016,2016-01-20,420.2300109863281,22.98549034967329,9659.192862169346,HOLD
2016,2016-01-21,410.2619934082031,22.98549034967329,9430.073090321981,HOLD
2016,2016-01-22,382.4920043945313,22.98549034967329,8791.766275837694,HOLD
2016,2016-01-23,387.4909973144531,22.98549034967329,8906.670579356642,HOLD
2016,2016-01-24,402.9710083007813,22.98549034967329,9262.486222495725,HOLD
2016,2016-01-25,391.72601318359375,22.98549034967329,9004.014495747486,HOLD
2016,2016-01-26,392.1530151367187,22.98549034967329,9013.829345020331,HOLD
2016,2016-01-27,394.9719848632813,22.98549034967329,9078.624746466257,HOLD
2016,2016-01-28,380.28900146484375,22.98549034967329,8741.129173257059,HOLD
2016,2016-01-29,379.4739990234375,22.98549034967329,8722.395942505154,HOLD
2016,2016-01-30,378.2550048828125,22.98549034967329,8694.376764449511,HOLD
2016,2016-01-31,368.7669982910156,22.98549034967329,8476.290280496127,HOLD
2016,2016-02-01,373.0559997558594,22.98549034967329,8574.875082276027,HOLD
2016,2016-02-02,374.447998046875,22.98549034967329,8606.870845560929,HOLD
2016,2016-02-03,369.9490051269531,22.98549034967329,8503.459287216816,HOLD
2016,2016-02-04,389.593994140625,22.98549034967329,8955.008992610008,HOLD
2016,2016-02-05,386.5490112304687,22.98549034967329,8885.018567313691,HOLD
2016,2016-02-06,376.5220031738281,22.98549034967329,8654.542870391682,HOLD
2016,2016-02-07,376.6199951171875,22.98549034967329,8656.795263260115,HOLD
2016,2016-02-08,373.4469909667969,22.98549034967329,8583.86220698184,HOLD
2016,2016-02-09,376.0289916992187,22.98549034967329,8643.21075989977,HOLD
2016,2016-02-10,381.64898681640625,22.98549034967329,8772.389103431095,HOLD
2016,2016-02-11,379.6539916992187,22.98549034967329,8726.533162417336,HOLD
2016,2016-02-12,384.2630004882813,22.98549034967329,8832.473489459893,HOLD
2016,2016-02-13,391.8599853515625,22.98549034967329,9007.093911721457,HOLD
2016,2016-02-14,407.2300109863281,22.98549034967329,9360.381487623594,HOLD
2016,2016-02-15,400.18499755859375,22.98549034967329,9198.448399467086,HOLD
2016,2016-02-16,407.4880065917969,22.98549034967329,9366.311643123354,HOLD
2016,2016-02-17,416.3219909667969,22.98549034967329,9569.36510572408,HOLD
2016,2016-02-18,422.37298583984375,22.98549034967329,9708.450189984422,HOLD
2016,2016-02-19,420.7850036621094,22.98549034967329,9671.949640962655,HOLD
2016,2016-02-20,437.16400146484375,22.98549034967329,10048.428936894727,HOLD
2016,2016-02-21,438.7980041503906,22.98549034967329,10085.987289854706,HOLD
2016,2016-02-22,437.74798583984375,22.98549034967329,10061.852104110649,HOLD
2016,2016-02-23,420.7359924316406,22.98549034967329,9670.823093797691,HOLD
2016,2016-02-24,424.9549865722656,22.98549034967329,9767.798742902354,HOLD
2016,2016-02-25,424.54400634765625,22.98549034967329,9758.352160915689,HOLD
2016,2016-02-26,432.1520080566406,22.98549034967329,9933.225810777847,HOLD
2016,2016-02-27,432.5190124511719,22.98549034967329,9941.661586746633,HOLD
2016,2016-02-28,433.5039978027344,22.98549034967329,9964.301958039543,HOLD
2016,2016-02-29,437.6969909667969,22.98549034967329,10060.679961948348,HOLD
2016,2016-03-01,435.12298583984375,22.98549034967329,10001.515191942757,HOLD
2016,2016-03-02,423.989013671875,22.98549034967329,9745.59538212238,HOLD
2016,2016-03-03,421.6510009765625,22.98549034967329,9691.85501387686,HOLD
2016,2016-03-04,410.9389953613281,22.98549034967329,9445.634312182245,HOLD
2016,2016-03-05,400.5700073242187,22.98549034967329,9207.298037719389,HOLD
2016,2016-03-06,407.7070007324219,22.98549034967329,9371.345330829325,HOLD
2016,2016-03-07,414.3210144042969,22.98549034967329,9523.371678256815,HOLD
2016,2016-03-08,413.9719848632813,22.98549034967329,9515.34906311005,HOLD
2016,2016-03-09,414.8599853515625,22.98549034967329,9535.760189763943,HOLD
2016,2016-03-10,417.1310119628906,22.98549034967329,9587.960850022477,HOLD
2016,2016-03-11,421.69000244140625,22.98549034967329,9692.75148167065,HOLD
2016,2016-03-12,411.6239929199219,22.98549034967329,9461.379316954852,HOLD
2016,2016-03-13,414.06500244140625,22.98549034967329,9517.487117754392,HOLD
2016,2016-03-14,416.43798828125,22.98549034967329,9572.031360876032,HOLD
2016,2016-03-15,416.8299865722656,22.98549034967329,9581.041633811259,HOLD
2016,2016-03-16,417.010986328125,22.98549034967329,9585.202001952857,HOLD
2016,2016-03-17,420.6210021972656,22.98549034967329,9668.179986875157,HOLD
2016,2016-03-18,409.5480041503906,22.98549034967329,9413.661697126761,HOLD
2016,2016-03-19,410.4440002441406,22.98549034967329,9434.256606692996,HOLD
2016,2016-03-20,413.7550048828125,22.98549034967329,9510.361671862913,HOLD
2016,2016-03-21,413.3070068359375,22.98549034967329,9500.064217079795,HOLD
2016,2016-03-22,418.0889892578125,22.98549034967329,9609.98042789011,HOLD
2016,2016-03-23,418.0409851074219,22.98549034967329,9608.877028954561,HOLD
2016,2016-03-24,416.3940124511719,22.98549034967329,9571.02055485815,HOLD
2016,2016-03-25,417.177001953125,22.98549034967329,9589.01795249919,HOLD
2016,2016-03-26,417.9450073242187,22.98549034967329,9606.670932544963,HOLD
2016,2016-03-27,426.7650146484375,22.98549034967329,9809.403125779842,HOLD
2016,2016-03-28,424.2309875488281,22.98549034967329,9751.15727033596,HOLD
2016,2016-03-29,416.5159912109375,22.98549034967329,9573.82429646361,HOLD
2016,2016-03-30,414.8160095214844,22.98549034967329,9534.749383746062,HOLD
2016,2016-03-31,416.72900390625,22.98549034967329,9578.720497716073,HOLD
2016,2016-04-01,417.9599914550781,22.98549034967329,9607.01535014023,HOLD
2016,2016-04-02,420.87298583984375,22.98549034967329,9673.971954459912,HOLD
2016,2016-04-03,420.9039916992187,22.98549034967329,9674.684639341358,HOLD
2016,2016-04-04,421.4440002441406,22.98549034967329,9687.097000539403,HOLD
2016,2016-04-05,424.0299987792969,22.98549034967329,9746.537444913505,HOLD
2016,2016-04-06,423.4129943847656,22.98549034967329,9732.355296357302,HOLD
2016,2016-04-07,422.7449951171875,22.98549034967329,9717.001005638796,HOLD
2016,2016-04-08,420.3489990234375,22.98549034967329,9661.92786054805,HOLD
2016,2016-04-09,419.4110107421875,22.98549034967329,9640.367739961272,HOLD
2016,2016-04-10,421.5639953613281,22.98549034967329,9689.855147147524,HOLD
2016,2016-04-11,422.4830017089844,22.98549034967329,9710.978958682865,HOLD
2016,2016-04-12,425.19000244140625,22.98549034967329,9773.200697894506,HOLD
2016,2016-04-13,423.7340087890625,22.98549034967329,9739.733969849374,HOLD
2016,2016-04-14,424.2820129394531,22.98549034967329,9752.330113959759,HOLD
2016,2016-04-15,429.7130126953125,22.98549034967329,9877.164306437142,HOLD
2016,2016-04-16,430.5719909667969,22.98549034967329,9896.908343206926,HOLD
2016,2016-04-17,427.39898681640625,22.98549034967329,9823.975286928648,HOLD
2016,2016-04-18,428.5910034179687,22.98549034967329,9851.374373020511,HOLD
2016,2016-04-19,435.5090026855469,22.98549034967329,10010.387978424478,HOLD
2016,2016-04-20,441.3890075683594,22.98549034967329,10145.542773914396,HOLD
2016,2016-04-21,449.4249877929687,22.98549034967329,10330.25371981732,HOLD
2016,2016-04-22,445.7369995117187,22.98549034967329,10245.483500768938,HOLD
2016,2016-04-23,450.2820129394531,22.98549034967329,10349.952863051263,HOLD
2016,2016-04-24,458.5549926757813,22.98549034967329,10540.111358943677,HOLD
2016,2016-04-25,461.4259948730469,22.98549034967329,10606.102752242818,HOLD
2016,2016-04-26,466.0889892578125,22.98549034967329,10713.283964674427,HOLD
2016,2016-04-27,444.68701171875,22.98549034967329,10221.349016486382,HOLD
2016,2016-04-28,449.010986328125,22.98549034967329,10320.737693142404,HOLD
