test_year,timestamp,close,cash,btc,equity_before_action,equity,prob_up,y_pred,action
2016,2016-01-01,434.3340148925781,10000.0,0.0,10000.0,10000.0,0.12856121,0,HOLD
2016,2016-01-02,433.43798828125,10000.0,0.0,10000.0,10000.0,0.5001553,1,HOLD
2016,2016-01-03,430.010986328125,10000.0,0.0,10000.0,10000.0,0.23484114,0,HOLD
2016,2016-01-04,433.0910034179688,10000.0,0.0,10000.0,10000.0,0.41618925,0,HOLD
2016,2016-01-05,431.9599914550781,10000.0,0.0,10000.0,10000.0,0.40569517,0,HOLD
2016,2016-01-06,429.1050109863281,10000.0,0.0,10000.0,10000.0,0.41276225,0,HOLD
2016,2016-01-07,458.0480041503906,10000.0,0.0,10000.0,10000.0,0.21584392,0,HOLD
2016,2016-01-08,453.2300109863281,10000.0,0.0,10000.0,10000.0,0.14916825,0,HOLD
2016,2016-01-09,447.6109924316406,10000.0,0.0,10000.0,10000.0,0.049783055,0,HOLD
2016,2016-01-10,447.9909973144531,10000.0,0.0,10000.0,10000.0,0.055427313,0,HOLD
2016,2016-01-11,448.4280090332031,10000.0,0.0,10000.0,10000.0,0.046143323,0,HOLD
2016,2016-01-12,435.6900024414063,10000.0,0.0,10000.0,10000.0,0.2391013,0,HOLD
2016,2016-01-13,432.3710021972656,10000.0,0.0,10000.0,10000.0,0.19925681,0,HOLD
2016,2016-01-14,430.3059997558594,10000.0,0.0,10000.0,10000.0,0.065524764,0,HOLD
2016,2016-01-15,364.33099365234375,0.0,27.364390282069817,10000.0,9969.695502157036,0.80921066,1,BUY
2016,2016-01-16,387.5360107421875,0.0,27.364390282069817,10604.68664630562,10604.68664630562,0.26446897,0,HOLD
2016,2016-01-17,382.2990112304688,0.0,27.364390282069817,10461.379347759941,10461.379347759941,0.23408586,0,HOLD
2016,2016-01-18,387.1679992675781,10580.13980949136,0.0,10594.616236686128,10580.13980949136,0.23099919,0,SELL
2016,2016-01-19,380.1489868164063,10580.13980949136,0.0,10580.13980949136,10580.13980949136,0.30493316,0,HOLD
2016,2016-01-20,420.2300109863281,10580.13980949136,0.0,10580.13980949136,10580.13980949136,0.27881798,0,HOLD
2016,2016-01-21,410.2619934082031,10580.13980949136,0.0,10580.13980949136,10580.13980949136,0.35888585,0,HOLD
2016,2016-01-22,382.4920043945313,0.0,27.637605267400115,10580.13980949136,10571.163035392727,0.5530621,1,BUY
2016,2016-01-23,387.4909973144531,0.0,27.637605267400115,10709.323228448053,10709.323228448053,0.26316243,0,HOLD
2016,2016-01-24,402.9710083007813,0.0,27.637605267400115,11137.15366162321,11137.15366162321,0.2526929,0,HOLD
2016,2016-01-25,391.72601318359375,10823.162934452805,0.0,10826.368925340537,10823.162934452805,0.24183126,0,SELL
2016,2016-01-26,392.1530151367188,10823.162934452805,0.0,10823.162934452805,10823.162934452805,0.16919899,0,HOLD
2016,2016-01-27,394.9719848632813,0.0,27.362898468932176,10823.162934452805,10807.578319886583,0.69074816,1,BUY
2016,2016-01-28,380.28900146484375,0.0,27.362898468932176,10405.809335934118,10405.809335934118,0.8034675,1,HOLD
2016,2016-01-29,379.4739990234375,0.0,27.362898468932176,10383.508506877988,10383.508506877988,0.7078666,1,HOLD
2016,2016-01-30,378.2550048828125,0.0,27.362898468932176,10350.153293973843,10350.153293973843,0.7322066,1,HOLD
2016,2016-01-31,368.7669982910156,0.0,27.362898468932176,10090.533932929946,10090.533932929946,0.769276,1,HOLD
2016,2016-02-01,373.0559997558594,0.0,27.362898468932176,10207.893444545567,10207.893444545567,0.25596535,0,HOLD
2016,2016-02-02,374.447998046875,0.0,27.362898468932176,10245.982552451555,10245.982552451555,0.19082274,0,HOLD
2016,2016-02-03,369.9490051269531,10118.904851251542,0.0,10122.877065971288,10118.904851251542,0.05180983,0,SELL
2016,2016-02-04,389.593994140625,10118.904851251542,0.0,10118.904851251542,10118.904851251542,0.15093899,0,HOLD
2016,2016-02-05,386.5490112304688,10118.904851251542,0.0,10118.904851251542,10118.904851251542,0.11186761,0,HOLD
2016,2016-02-06,376.5220031738281,10118.904851251542,0.0,10118.904851251542,10118.904851251542,0.34503618,0,HOLD
2016,2016-02-07,376.6199951171875,10118.904851251542,0.0,10118.904851251542,10118.904851251542,0.15329823,0,HOLD
2016,2016-02-08,373.4469909667969,10118.904851251542,0.0,10118.904851251542,10118.904851251542,0.12682578,0,HOLD
2016,2016-02-09,376.0289916992188,10118.904851251542,0.0,10118.904851251542,10118.904851251542,0.23357768,0,HOLD
2016,2016-02-10,381.6489868164063,10118.904851251542,0.0,10118.904851251542,10118.904851251542,0.41164592,0,HOLD
2016,2016-02-11,379.6539916992188,10118.904851251542,0.0,10118.904851251542,10118.904851251542,0.35719982,0,HOLD
2016,2016-02-12,384.2630004882813,10118.904851251542,0.0,10118.904851251542,10118.904851251542,0.25908682,0,HOLD
2016,2016-02-13,391.8599853515625,10118.904851251542,0.0,10118.904851251542,10118.904851251542,0.2821499,0,HOLD
2016,2016-02-14,407.2300109863281,10118.904851251542,0.0,10118.904851251542,10118.904851251542,0.42324862,0,HOLD
2016,2016-02-15,400.18499755859375,10118.904851251542,0.0,10118.904851251542,10118.904851251542,0.45382857,0,HOLD
2016,2016-02-16,407.4880065917969,0.0,24.797343351019872,10118.904851251542,10104.620010879436,0.54194695,1,BUY
2016,2016-02-17,416.3219909667969,0.0,24.797343351019872,10323.679354583855,10323.679354583855,0.53608805,1,HOLD
2016,2016-02-18,422.37298583984375,0.0,24.797343351019872,10473.72795206606,10473.72795206606,0.35342956,0,HOLD
2016,2016-02-19,420.7850036621094,0.0,24.797343351019872,10434.350212769481,10434.350212769481,0.30704615,0,HOLD
2016,2016-02-20,437.16400146484375,10844.752037430582,0.0,10840.505845029485,10844.752037430582,0.35541868,0,SELL
2016,2016-02-21,438.7980041503906,10844.752037430582,0.0,10844.752037430582,10844.752037430582,0.56260437,1,HOLD
2016,2016-02-22,437.74798583984375,10844.752037430582,0.0,10844.752037430582,10844.752037430582,0.549921,1,HOLD
2016,2016-02-23,420.7359924316406,0.0,25.736436703026456,10844.752037430582,10828.245237901938,0.6380937,1,BUY
2016,2016-02-24,424.9549865722656,0.0,25.736436703026456,10936.827113552572,10936.827113552572,0.3823855,0,HOLD
2016,2016-02-25,424.54400634765625,0.0,25.736436703026456,10926.249947015716,10926.249947015716,0.35821673,0,HOLD
2016,2016-02-26,432.1520080566406,0.0,25.736436703026456,11122.052801435511,11122.052801435511,0.54294676,1,HOLD
2016,2016-02-27,432.5190124511719,0.0,25.736436703026456,11131.498186805096,11131.498186805096,0.2695779,0,HOLD
2016,2016-02-28,433.5039978027344,0.0,25.736436703026456,11156.848199958993,11156.848199958993,0.42695105,0,HOLD
2016,2016-02-29,437.6969909667969,11259.152527662713,0.0,11264.76090312211,11259.152527662713,0.4381414,0,SELL
2016,2016-03-01,435.12298583984375,0.0,25.84944089458351,11259.152527662713,11247.685904341739,0.7148595,1,BUY
2016,2016-03-02,423.989013671875,0.0,25.84944089458351,10959.878948863892,10959.878948863892,0.16798696,0,HOLD
