test_year,entry_signal_time,entry_exec_time,exit_signal_time,exit_exec_time,entry_price,exit_price,btc_size,fees_paid,pnl_dollars,return_pct,entry_prob_up,exit_prob_up
2020,2020-05-04 00:00:00,2020-05-05 00:00:00,2020-05-21 00:00:00,2020-05-22 00:00:00,8912.83203125,9080.3349609375,1.8092875622707931,32.570955262983134,270.49001206452976,1.6756889345264572,0.7077063,0.46809986
2022,2022-02-10 00:00:00,2022-02-11 00:00:00,2022-02-26 00:00:00,2022-02-27 00:00:00,43571.12890625,39098.69921875,0.22928026541371063,18.96456013420584,-1044.4044259283648,-10.444044259283649,0.7827494,0.46543992
2022,2022-02-27 00:00:00,2022-02-28 00:00:00,2022-03-06 00:00:00,2022-03-07 00:00:00,37706.0,38429.3046875,0.23727364288170483,18.073856690685737,153.54728142585236,1.7145401459441136,0.58155745,0.357312
2022,2022-03-27 00:00:00,2022-03-28 00:00:00,2022-04-25 00:00:00,2022-04-26 00:00:00,46821.8515625,40448.421875,0.1943544180540327,16.97047235021712,-1255.674690272575,-13.784773278802614,0.7425404,0.4729679
2022,2022-04-26 00:00:00,2022-04-27 00:00:00,2022-05-31 00:00:00,2022-06-01 00:00:00,38120.30078125,31792.5546875,0.20581198301873477,14.396756890690858,-1316.722728484431,-16.76613059074802,0.5978288,0.4349945
2022,2022-06-09 00:00:00,2022-06-10 00:00:00,2022-07-08 00:00:00,2022-07-09 00:00:00,30110.330078125,21716.828125,0.21687602475164838,11.246604790705275,-1831.5959421296518,-28.019998022792347,0.6095935,0.2824594
2022,2022-07-19 00:00:00,2022-07-20 00:00:00,2022-10-08 00:00:00,2022-10-09 00:00:00,23393.19140625,19417.478515625,0.20093215429598854,8.606745283751435,-807.4553012593645,-17.161097690609097,0.6900213,0.23425594
2022,2022-10-12 00:00:00,2022-10-13 00:00:00,2022-10-27 00:00:00,2022-10-28 00:00:00,19156.966796875,20287.95703125,0.20325746452686302,8.021372899953283,221.86083454375176,5.692104704422254,0.7566986,0.34752008
2022,2022-10-30 00:00:00,2022-10-31 00:00:00,2022-12-02 00:00:00,2022-12-03 00:00:00,20633.6953125,17090.09765625,0.1994521781260465,7.52821222982112,-714.3064831712369,-17.33940870638628,0.77264804,0.46718335
2022,2022-12-10 00:00:00,2022-12-11 00:00:00,2022-12-15 00:00:00,2022-12-16 00:00:00,17129.7109375,17364.546875,0.19859315248175097,6.8537286500473655,39.78308049408508,1.1682871300458861,0.6145732,0.27411696
2023,2023-01-09 00:00:00,2023-01-10 00:00:00,2023-01-12 00:00:00,2023-01-13 00:00:00,17192.94921875,18868.90625,0.5810521436953512,20.96381842574911,952.8546073233601,9.5285460732336,0.6225671,0.11174991
2023,2023-02-06 00:00:00,2023-02-07 00:00:00,2023-02-11 00:00:00,2023-02-12 00:00:00,22757.267578125,21870.90234375,0.48080911801703896,21.46858387345859,-447.6410704542684,-4.086980851137785,0.5806159,0.15173285
2023,2023-05-20 00:00:00,2023-05-21 00:00:00,2023-05-28 00:00:00,2023-05-29 00:00:00,27118.423828125,28075.591796875,0.3869955123441936,21.370341568667172,349.04936689719017,3.322629908208593,0.59931993,0.065723866
2023,2023-07-05 00:00:00,2023-07-06 00:00:00,2023-07-15 00:00:00,2023-07-16 00:00:00,30507.150390625,30297.47265625,0.3554382661775828,21.623144054266508,-96.15063441656025,-0.8858329236082654,0.5597655,0.19091037
2023,2023-08-27 00:00:00,2023-08-28 00:00:00,2023-08-31 00:00:00,2023-09-01 00:00:00,26089.615234375,25934.021484375,0.4119399255424794,21.441371148640222,-85.53664893851538,-0.7950897592155883,0.5869653,0.15511362
2023,2023-09-29 00:00:00,2023-09-30 00:00:00,2023-10-03 00:00:00,2023-10-04 00:00:00,26911.689453125,27429.07421875,0.396181111682408,21.53945673681486,183.43861487603976,1.718784868811002,0.57786673,0.18893544
2023,2023-10-30 00:00:00,2023-10-31 00:00:00,2023-11-03 00:00:00,2023-11-04 00:00:00,34500.078125,34736.32421875,0.3143517003572571,21.77543681761228,52.4889244554602,0.48350088087436405,0.55011004,0.39081115
2023,2023-11-08 00:00:00,2023-11-09 00:00:00,2023-11-15 00:00:00,2023-11-16 00:00:00,35633.6328125,37879.98046875,0.30582328537549996,22.493083236655607,664.4923370932737,6.091507949005779,0.5920721,0.07846782
2024,2024-01-14 00:00:00,2024-01-15 00:00:00,2024-01-17 00:00:00,2024-01-18 00:00:00,41715.06640625,42742.3125,0.23948181941532853,20.23600676351854,225.7707567550206,2.2577075675502063,0.65675116,0.18464223
2024,2024-01-18 00:00:00,2024-01-19 00:00:00,2024-01-22 00:00:00,2024-01-23 00:00:00,41278.4609375,39518.71484375,0.24747882440349925,20.005815848223385,-455.50571037812335,-4.454487795721626,0.79688746,0.39011368
2025,2025-02-25 00:00:00,2025-02-26 00:00:00,2025-03-06 00:00:00,2025-03-07 00:00:00,88638.890625,89963.28125,0.11270447914633973,20.139264755576924,129.12549082134342,1.2912549082134341,0.91487443,0.4093312
2025,2025-03-13 00:00:00,2025-03-14 00:00:00,2025-03-16 00:00:00,2025-03-17 00:00:00,81066.9921875,82576.3359375,0.12482264473222687,20.436522134836927,167.96375655022013,1.658225645465869,0.6435766,0.28326863
2025,2025-03-22 00:00:00,2025-03-23 00:00:00,2025-04-02 00:00:00,2025-04-03 00:00:00,83831.8984375,82487.4765625,0.1227073745179874,20.418910926969964,-185.38938945276982,-1.800405774865866,0.6282371,0.3236219
2025,2025-04-06 00:00:00,2025-04-07 00:00:00,2025-04-11 00:00:00,2025-04-12 00:00:00,78221.3359375,83404.515625,0.12914108455181839,20.88264946225038,648.4787968084547,6.413153138644737,0.71030605,0.15932193
2025,2025-04-20 00:00:00,2025-04-21 00:00:00,2025-04-24 00:00:00,2025-04-25 00:00:00,85171.5390625,93954.25,0.1262090434714871,22.618054677308216,1085.8394918311344,10.091277539839865,0.70784026,0.1913962
2025,2025-04-29 00:00:00,2025-04-30 00:00:00,2025-05-03 00:00:00,2025-05-04 00:00:00,94286.46875,95877.1875,0.12551294247523537,23.87984606593324,175.7759448970951,1.4838399090935306,0.6573258,0.30440316
2025,2025-05-04 00:00:00,2025-05-05 00:00:00,2025-05-08 00:00:00,2025-05-09 00:00:00,94319.5625,103239.125,0.12733066162562007,25.167300183355575,1110.5664943527142,9.237943071592387,0.62163794,0.26031426
2025,2025-10-16 00:00:00,2025-10-17 00:00:00,2025-10-21 00:00:00,2025-10-22 00:00:00,108179.1328125,108491.53125,0.12127318720479215,26.289474365224002,11.596079828198057,0.08830156431075799,0.7737956,0.42461416
2025,2025-10-22 00:00:00,2025-10-23 00:00:00,2025-10-25 00:00:00,2025-10-26 00:00:00,107679.4375,111639.0546875,0.12194354849755557,26.757619145142804,456.092151390518,3.469976073360977,0.72956353,0.11510612
2025,2025-11-04 00:00:00,2025-11-05 00:00:00,2025-11-10 00:00:00,2025-11-11 00:00:00,101579.234375,105996.859375,0.1337522265432007,27.777364765019694,563.0898150178873,4.140351425157485,0.66080326,0.21538274
2025,2025-11-13 00:00:00,2025-11-14 00:00:00,2025-11-28 00:00:00,2025-11-29 00:00:00,99694.703125,90918.7421875,0.14192304154486893,27.06660305672859,-1272.577671785688,-8.985138851260121,0.76122004,0.41745308
2025,2025-12-01 00:00:00,2025-12-02 00:00:00,2025-12-18 00:00:00,2025-12-19 00:00:00,86322.5390625,85476.1328125,0.1491808575043772,25.64196374938589,-151.90957392145015,-1.1784558824847036,0.75070906,0.39474663
2026,2026-01-01 00:00:00,2026-01-02 00:00:00,2026-01-17 00:00:00,2026-01-18 00:00:00,88733.0625,95101.1796875,0.11258486654847509,20.706953623719738,696.2466700960183,6.962466700960183,0.7860624,0.374351
2026,2026-01-25 00:00:00,2026-01-26 00:00:00,2026-03-04 00:00:00,2026-03-05 00:00:00,86566.5234375,72712.65625,0.1234374443966294,19.67171113288662,-1729.7576717682066,-16.171632210055222,0.7918251,0.1394173
2026,2026-04-04 00:00:00,2026-04-05 00:00:00,2026-04-07 00:00:00,2026-04-08 00:00:00,67291.1953125,71950.1484375,0.1331158180164699,18.544191863992058,601.6361644707717,6.7098299522028375,0.7222497,0.415098
