timestamp,action,price,rsi_14,units,gross_value,fee,cash_after_trade,position_units_after_trade,realized_pnl,equity_after_trade
2014-12-17,BUY,319.7760009765625,29.207420630628995,31.240618337497448,9990.0,10.0,0.0,31.240618337497448,,9990.0
2015-03-11,SELL,296.3789978027344,70.68898400602538,31.240618337497448,9259.063153605219,9.259063153605219,9249.804090451613,0.0,-750.1959095483871,9249.804090451613
2015-04-14,BUY,219.15899658203125,28.56010157082007,42.16370046621572,9240.55428636116,9.249804090451613,0.0,42.16370046621572,,9240.55428636116
2015-06-16,SELL,250.89500427246097,73.68916452856575,42.16370046621572,10578.661808613959,10.578661808613958,10568.083146805346,0.0,1318.2790563537328,10568.083146805346
2015-08-18,BUY,211.07899475097656,18.19314827478913,50.01689095645883,10557.51506365854,10.568083146805346,0.0,50.01689095645883,,10557.51506365854
2015-10-15,SELL,254.32000732421875,70.36592581459975,50.01689095645883,12720.29607438126,12.72029607438126,12707.575778306878,0.0,2139.4926315015327,12707.575778306878
2016-01-15,BUY,364.33099365234375,27.229018335067295,34.844326789947544,12694.86820252857,12.707575778306879,0.0,34.844326789947544,,12694.86820252857
2016-04-20,SELL,441.3890075683594,72.17830041110233,34.844326789947544,15379.902821202544,15.379902821202544,15364.52291838134,0.0,2656.9471400744624,15364.52291838134
2016-08-02,BUY,547.4650268554688,23.805647476480672,28.03678343368434,15349.158395462959,15.364522918381342,0.0,28.03678343368434,,15349.158395462959
2016-10-11,SELL,641.072021484375,75.70879312883702,28.03678343368434,17973.597431751656,17.973597431751656,17955.623834319904,0.0,2591.100915938563,17955.623834319904
2017-07-15,BUY,1998.8599853515625,28.343900152232752,8.973949322083547,17937.668210485583,17.955623834319905,0.0,8.973949322083547,,17937.668210485583
2017-08-08,SELL,3419.93994140625,70.37112151499973,8.973949322083547,30690.36771874906,30.690367718749062,30659.677351030314,0.0,12704.05351671041,30659.677351030314
2017-09-14,BUY,3154.949951171875,28.382649173084943,9.708242015789327,30629.017673679282,30.659677351030314,0.0,9.708242015789327,,30629.017673679286
2017-10-12,SELL,5446.91015625,77.75212126181754,9.708242015789327,52879.92203513586,52.87992203513586,52827.042113100724,0.0,22167.364762070407,52827.042113100724
2018-02-05,BUY,6955.27001953125,26.176396161184385,7.587658699488469,52774.21507098762,52.827042113100724,0.0,7.587658699488469,,52774.21507098762
2018-04-24,SELL,9697.5,70.52220334045596,7.587658699488469,73581.32023828942,73.58132023828942,73507.73891805114,0.0,20680.696804950414,73507.73891805114
2018-05-28,BUY,7135.990234375,29.284672016219055,10.290685492447954,73434.23117913309,73.50773891805115,0.0,10.290685492447954,,73434.23117913309
2018-07-23,SELL,7711.10986328125,70.22484327147784,10.290685492447954,79352.60640074068,79.35260640074068,79273.25379433994,0.0,5765.514876288798,79273.25379433994
2018-11-14,BUY,5738.35009765625,19.574842258996007,13.800827623412397,79193.9805405456,79.27325379433994,0.0,13.800827623412397,,79193.9805405456
2019-02-19,SELL,3947.094482421875,71.176001544486,13.800827623412397,54473.17056522647,54.473170565226475,54418.69739466125,0.0,-24854.556399678688,54418.69739466125
